2023-12-03 18:32:33 INFO     Logging Module Started
2023-12-03 18:32:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:33:04 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:33:14 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:33:24 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:33:34 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:33:44 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:33:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:34:04 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:34:14 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:34:24 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:34:34 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:34:44 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:34:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:35:04 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:35:14 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:35:24 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:35:34 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:35:44 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:35:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:36:04 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:36:14 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:36:24 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:36:34 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:36:44 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:36:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:37:04 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:37:14 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:37:24 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:37:34 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:37:44 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:37:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:38:04 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:38:14 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:38:24 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:38:34 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:38:44 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:38:54 ERROR    Error:23: acWebClient: OSError Caught
2023-12-03 18:39:04 ERROR    Error:23: acWebClient: OSError Caught
